8579707, 273865522, 0.7885922/0.7885934, 0.0000007, 54953.851710, 0.042675, , ciclica, ok
8587792, 239290086, 0.3681687/0.3681663, 0.0000002, 54953.660533/120.666533, 0.020581, , ciclica, ok
8590527, 185059488, 0.7397700/0.7397697, 0.0000007, 54953.870653, 0.012817, , sem variacao, ok
8654097, 240195381, 3.0415903/3.0416664, 0.0000052, 55003.400402, 0.169844, , sem variacao, ok
8685306, 159386347, 0.8080821/0.8080815, 0.0000008, 54954.092069, 0.048212, , sem variacao, ok
8696442, 271162223, 12.3605529/12.2192911, 0.0000394, 54996.162544, -1, fluxo constante, sem variacao, ok
8719324, 185109374, 10.2326979/10.2326922, 0.0000300, 55003.805236, -1, olhar no artigo que tipo de sistema tem essa variação, sem variacao, ok
8758161, 270615728, 0.9982176/0.9982072, 0.0000010, 54953.832607/120.844607, 0.024275, , ciclica, ok
8841616, 268610013, 1.6795854/1.6795864, 0.0000022, 54954.481133, 0.045695, , sem variacao, ok
8848288, 185060864, 5.5664753/5.5666428, 0.0000124, 55038.387164, 0.085548, , sem variacao, ok
8868650, 164677806, 4.4473818/4.4472022, 0.0000090, 54957.950912, 0.140005, , sem variacao, ok
8892722, 271044027, 1.7943780/1.7944335, 0.0000024, 55002.034029, 0.095779, , sem variacao, ok
8894630, 271352011, 1.0840008/1.0839934, 0.0000012, 54954.049453, 0.060528, , ciclica, ok
8912468, 239276223, 0.0948380/0.0948381, 0.0000000, 54953.576945, 0.005326, ainda precisa rodar. Intervalos para o o-c muito grande, sem variacao,
9002076, 164415700, 0.4814050/0.4814064, 0.0000004, 54953.989731, 0.028952, , sem variacao, ok
9007918, 158113583, 1.3872069/1.3872054, 0.0000017, 54954.746682, 0.023254, , sem variacao, ok
9016693, 159176945, 26.3680271/26.3593393, 0.0001163, 55002.583038, -1, fluxo constante, sem variacao, ok
9083523, 159169838, 0.9184208/0.9184246, 0.0000009, 54954.484907, 0.043032, , ciclica, ok
9108579, 273583841, 1.1696282/1.1696338, 0.0000013, 54954.997950, 0.069335, , sem variacao, ok
9159301, 270616815, 3.0447704/3.0447152, 0.0000052, 54956.302809, 0.063278, , sem variacao, ok
9181877, 239309691, 0.3210098/0.3210146, 0.0000002, 54953.793919/120.789019, 0.016609, , ciclica, ok
9220600, 63451547, 0.9791626/0.9791624, 0.0000010, 54954.447384, 0.021715, , sem variacao, ok
9228778, 271882245, 1.5665945/1.5665938, 0.0000020, 54954.088082, 0.077419, , sem variacao, ok
